text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,is_bot_annotation
If darius was helping who was recording them all of them?,12,0,4,0,0,5,0,3,0
Yes,1,0,0,0,0,0,0,1,1
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0
I am your very big fan jimmy sir,8,1,1,1,1,4,0,0,0
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,1
Do more challenges and pick me in next challenge,9,2,2,2,0,1,0,2,0
Gugu gaga,2,1,0,0,0,1,0,0,0
I hope this isn't the Epsh (coughs 2 times)?,13,1,2,0,0,4,2,4,0
Hi Jimmy,2,0,0,0,0,1,0,1,1
MRBEAST STOP PLAYING ROBLOX SO ROBLOX BRING BACK CHAT OK,10,2,3,1,0,3,0,1,0
Nepal[e][e],2,1,0,0,0,0,0,1,1
LOVE FROM BANGLADESH [e][e][e][e],6,2,0,0,0,1,0,3,0
[e],3,0,0,0,0,0,0,3,1
Darius Aura Farming bro MVP he need to be in more videos Mr Beast<>!,17,2,2,1,0,7,0,5,0
How is 5 days when 30 minutes is video,9,3,2,0,0,0,2,2,0
Are you crazy,3,0,1,1,0,1,0,0,1
This is how i felt in school every time,9,2,2,0,0,2,1,2,0
[e],3,0,0,0,0,0,0,3,1
My my! how convenient there were floatable blue barrels buried across the island and 'bamboo's' too. Truly a test of survival!,27,5,2,3,2,2,2,11,0
someone did this,3,0,1,0,0,2,0,0,1
@mrbeast i need money for married [e][e][e] $50.000 [e][e][e],14,2,1,1,0,1,3,6,1
It'd be nice to have a video challenge with just Jimmy.,13,2,3,1,1,2,1,3,0
[e],3,0,0,0,0,0,0,3,1
No video,2,1,0,0,0,0,1,0,1
cool,1,0,0,1,0,0,0,0,1
I would not breath until Mr Beast does not reply my coment. [e],16,1,4,0,0,4,0,7,0
If Mr.Beast offered the team $1m once they complete the challenge it would be completed in no time.,22,3,6,0,0,4,4,5,0
I felt greatly that the mechs gon get him  -babft player-,11,3,2,1,1,2,1,1,1
sound Mrbeast Indonesia has changed (voice over)[e],9,1,2,1,0,3,0,2,0
Beast today is my birthday can you gift me a ASUS rog,12,3,3,0,0,5,1,0,1
uzbek,1,0,0,0,0,1,0,0,1
Very nice mr beast,4,1,0,1,1,1,0,0,1
God willing you will succeed next time. Failure is the foundation of success. I love you Mr. Best. Your brother in faith from Yemen.,28,6,4,2,0,8,1,7,0
The Indonesian dubbing is not as energetic and good as the previous one. The previous one is better and more suitable,22,2,2,7,2,0,4,5,0
[e][e][e][e][e][e],3,0,0,0,0,0,0,3,1
IDK IF YOU NOTICED BUT YOU AT 472M SUBCRIBERS NOW!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,97,1,0,0,1,4,2,89,0
This deserves way more views! [e],9,1,1,1,1,1,0,4,1
Thailand 40 degrees,3,1,0,0,0,1,1,0,1
My little brother watches this 10 times a day! So good! [e],16,3,1,2,1,2,2,5,0
wow,1,0,0,0,0,0,0,1,1
You Will never Know Why this comment is The most Liked Comment in the History of YouTube!,18,2,4,0,2,3,3,4,1
)[e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e][e],4,0,0,0,0,0,0,4,1
Yes,1,0,0,0,0,0,0,1,1
Kristina tyson touched me,4,1,1,0,0,2,0,0,0
Helpme[e][e][e],2,1,0,0,0,0,0,1,1
Indonesian sounds better before than now,6,0,1,1,3,0,0,1,0
[e][e][e],3,0,0,0,0,0,0,3,1
Darius promotion! no more cameraman bro is the strong hand of Beast,13,4,1,2,0,3,1,2,0
Mr. I really like you I have a body doll of you made out of hair I collected from your sets I would love to go swimming with you in my pool with my grandma. We watch your videos together before tickle time We would love to have you over we can practice hugging[e][e][e][e],56,10,14,0,2,16,1,13,0
This is the MrBeast I fell in love with. Please include you and your friends more because that's what so many OGs adore,25,3,5,1,2,7,1,6,0
[e][e][e],3,0,0,0,0,0,0,3,1
Hii mr beast sir i need some money[e],9,0,1,0,0,6,1,1,0
When you do another video like this you need more people like Darius with you,15,2,2,1,0,5,1,4,0
[e],3,0,0,0,0,0,0,3,1
Hello Mr. Beast I like your videos. I don't speak English I'm learning.[e][e],17,1,4,1,0,7,0,4,0
Yes,1,0,0,0,0,0,0,1,1
Yep[e],2,0,0,0,0,1,0,1,1
Mission Failed[e],3,1,0,0,0,1,0,1,1
[e][e],3,1,0,0,0,0,0,2,1
The new guy pls make more video and the camera man need a bonus,14,5,2,2,0,0,3,2,0
I'm big fan you Mr beast [e],10,2,1,1,0,3,0,3,0
Entertainment at scale. Meaning at what cost?,9,3,1,0,0,1,0,4,1
I love how everyone is praising farious he did so much for the group [e],17,1,4,0,3,3,1,5,0
Mr Bean if you let me in one of your challenge that will be my great dream for me,19,2,3,1,0,8,1,4,0
Why is Mr. Beast's voice different?,8,1,1,1,0,2,0,3,0
Jimmy make a Lego city or a Lego swimming pool in your next video. It would be cool to see that. If you agree give it a like),31,5,6,2,0,8,3,7,0
Mr beast I am your big fan please I want to be in the beast game,16,4,3,1,0,4,1,3,0
Hii mr beast I want to meet you [e][e],11,2,2,0,0,4,0,3,0
Yes,1,0,0,0,0,0,0,1,1
Hi Mr beast,3,1,0,0,0,1,0,1,0
[e][e][e][e][e][e][e][e][e][e],3,0,0,0,0,0,0,3,1
So much failure,3,1,0,1,1,0,0,0,0
These guys are clueless. The Iranian regime doesnt care about their civilians lives. They will never surrender. The only way out for Trump now to justify this war is to either blame someone else for it (a scapegoat) make it seem like they got a huge deal or just completely obliterate Iran (which he wont).,65,7,14,4,6,10,6,18,0
U.s. do know Iran have allies and Iran get all that gear and tech back. Construction just rebuild all those destroyed buildings back and rebuild military nothing changed,30,5,8,1,3,5,4,4,1
"Iran said ""NO MORE TALKING!""",8,0,2,0,1,1,1,3,0
Alot of these strikes are same videos[e],8,2,1,1,0,1,1,2,0
Wouldnt be the first time the big I lied about a strike on themselves.,16,2,3,2,0,2,3,4,0
So much for no more wars. I say we let Israel fight this war all by themselves.,19,2,3,2,2,5,1,4,0
2 planes coming from NY into Israel right now looking at the flight radars,14,3,2,0,2,2,2,3,0
Israel and the US are losing this war. And when its done israel abd the US will only have each other as allies. The world hates the US and israel.,33,3,6,1,1,8,6,8,0
Now imagine how the citizens of Gaza Beirut and Tehran feel. I don't support Islamic fascism in any form but that doesn't close my eyes to the suffering of fellow human beings whatever their religion politics or nationality,41,9,6,3,1,8,3,11,0
Wondering how the Media knows the exact size of the bomb. Are they working with them?,18,3,4,1,0,2,3,5,0
200 lb? Should be a 3000lb one. Make it rain on em,15,0,4,0,0,2,6,3,0
Iran can keep this going.,6,0,3,0,0,1,1,1,0
Maybe the US wants to make a deal.,9,1,2,0,1,1,2,2,0
Now I understand why MAGA is always wrong.  But for those of us who know Trump is a psychopath and can recognize his lies the good news is these lies can be traded for profit.  The last week has allowed me to trade oil for good profits.  Strategy?  When he lies and oil goes down go long oil or trade options.   Fox News will make you broke and more stupid than you already are.  Sorry but Trump cant help your failures in life.  You own those.,95,14,22,6,5,19,4,25,0
It's taco tuesday fox news.,7,0,1,0,0,5,0,1,1
March 28th.  Stop the lies and stop child rapists trump,11,4,3,0,0,1,1,2,0
All I can say is keep an eye on them because I pray they aren't trying to buy time to receive some type of terrible weapon from another country or some other craziness because they are radical to the max. And they refuse to give up no matter what they are always looking toward their goal. But I'm praying about it. All I know is that they are liars. And the only thing that could change them is if Jesus Christ were to actually make himself known to them to the point that they fear and repent. Then they would actually be changed. But otherwise they will not change.,118,11,30,5,7,26,7,32,0
Something  stinks they would have stopped  firing for 5 days,10,1,5,0,0,2,1,1,0
Hamburger Hill. (937) Bombed and Bombed it even with Napalm only booths/close combat could do a temporary job.,24,3,4,2,2,4,2,7,0
How do you make a deal with liars? Lying seems to be their specialty.,16,3,5,0,0,2,1,5,0
Texas refineries [e][e][e][e],5,1,0,0,0,1,1,2,0
Pledge allegiance to your Epstein president,6,2,0,0,0,3,0,1,0
They dont make deals!,6,1,2,0,0,1,0,2,0
God bless these Israelis. Many arrogant Americans have no clue how lucky they are to live in America. And I have no clue that sometimes we have to fight for our freedom because they have grown up in a pampered world.,44,4,9,4,1,9,4,13,0
Finish the job!,4,1,1,0,0,0,1,1,0
they know what US 'talks' mean....,9,1,2,0,0,3,0,3,0
TACO,1,0,0,0,0,1,0,0,1
The Regime in Iran must be eliminated,7,0,3,0,0,2,1,1,0
I see,2,0,1,0,0,1,0,0,1
Fox News says Iran is on Borrowed time. Reality says Trump and his Master are the ones on borrowed time and it is coming to an end soon.,30,5,8,0,1,7,2,7,0
It's called gazanization!,5,1,2,0,0,1,0,1,0
Iran just send 100.000 ellite troops to gaza[e] Iran Will win..,13,2,3,0,1,3,1,3,0
Keep on dreaming. Iran is not interested in any deal. No more deal just keep on! If you so much needed that deal then the conditions are simple: pack all stuff and leave the GCC and then pay the damages you did to Iran.,49,7,10,3,5,5,6,13,0
As the world sees it the USA is the one that wants to hold the world hostage. The Epstein class wants to hold the word hostage. Trump = Child Rapist.,33,8,6,0,0,7,6,6,0
Anyone that believes this crap about negotiations on Fox News. I have a bridge to sell you in Brooklyn. These idiots love war so much let them send their own kids. I bet they will have bone spurs too.,43,7,10,1,3,11,3,8,0
Trump moved taco Tuesday to Monday now this? My body cannot process all this winning.,18,1,4,0,1,7,1,4,0
Put the friendly A-rabs on the ground,9,3,1,1,0,0,2,2,0
Orange buffoon is going to bend the knee first but Iran won't stop unless all objectives are achieved. Iran has also backing of 2 actual superpowers Russia and China,31,4,9,1,2,5,3,7,0
So called Jewish... [e],7,0,1,1,1,0,0,4,0
It's nice being an American. Missiles never land in our cities.,14,3,2,1,1,3,1,3,0
Hitting back harder [e][e][e][e],6,1,1,0,1,0,0,3,0
The same people the were complaining that trump didn't do anything for the protesters are the same ones that are now complaining that he is doing something to iran,30,4,9,2,1,6,4,4,0
Oh please Israel has no defenses left.  And Iran doesn't need or want a peace deal.,19,3,5,0,0,2,2,7,0
Keep blowing it up [e][e][e],7,0,2,0,0,1,1,3,0
The world do not trust the USA anymore,8,1,2,0,1,1,2,1,0
Iran stated what they are going to do They are going to make this war so painful that no one will ever dream of attacking them again they do not want peace talks they want American boots on the ground to put American soldiers in body bags even if Iran suffers 10 to 1 casualties. They want flag draped coffins trump attacked them while they were in peace negotiations twice they have absolutely no intention of talks with the US while trump is President,85,17,22,3,6,14,7,16,0
This fella is the cause of the war.,9,3,1,0,0,0,3,2,0
Give no quarter [e][e][e][e],6,1,1,0,0,0,2,2,1
Chris Murphy @ChrisM...  9h  $1.5 BILLION. Let me say it again - a $1.5 BILLION BET. Bigger than any futures purchases made at the time. 5 minutes before Trump's post. Who was it? Trump? A family member? A White House staffer? This is corruption. Mind blowing corruption. unusual whales  @unusual_w...  18h BREAKING: Just five minutes before Trump's announcement to halt the attacks on Iran massive trades reportedly hit the market.,88,22,8,3,3,14,13,25,0
Wipe Iranian regime out !,5,1,1,1,0,0,0,2,0
EPIC FAIL,2,0,0,0,0,2,0,0,0
What red blooded American believes Fox?,7,0,1,2,0,2,1,1,0
Tel Aviv. What a wonderful place to live! I feel sorry for the Israelis who are dying for Bibi's little adventure.,25,2,4,3,0,7,2,7,0
sooo the usa bombs iran  a society where the ppl are SHIA meaning they believe in martyrdom similar to those ppl that would die for a cause we bombed them and killed their leader  (savior)  idk man common sense tells me there were zero talks but idk [e]  im just a regular dude reading between the lines,62,14,10,3,1,14,8,12,0
[e] it's wild when even the fox comments are like f*** Trump this is crazy,21,2,4,2,1,2,1,9,0
I am happy that Israel is getting hit. They deserve it for killing thousands of thousands of innocent people who had nothing to do with this war Israel hate Arabs and always will.,35,4,10,2,1,8,1,9,0
You could catch 95% of commenters with 1 sort of shiny object...,14,4,2,1,0,1,2,4,0
Trump is an idiot,4,2,1,0,0,0,1,0,0
Oh no no more war. Im scared for my Gyoa,12,1,1,2,1,3,0,4,0
This fight is so stupid most of the storage bunkers are underground and spread out over a massive region,19,4,3,4,1,0,3,4,0
Iran has no interest in talks unless all US military bases and assets are totally annihilated in West Asia and Israeli state is dismantled,24,5,5,2,1,4,2,5,0
You shouldn't give them 5 minutes. Blow the whole country up.,14,2,3,1,0,2,2,4,0
Are we losing?,4,0,2,0,0,1,0,1,0
Good thing the war has ended.........................That's what Trump said.,13,2,4,1,0,3,1,2,0
I want to see Israel razed to the ground & equal casualties just like they did to the defenseless Gaza and Palestinians.,23,2,4,2,1,5,2,7,0
iran strong country then india & pakistanus no longer super power!!!!!!!,18,2,0,2,3,3,0,8,0
Here's what's going to happen:  5 day pause will result in IRGC and proxies reorganizing for more strikes.  The Islamic regime is crazy and is never truthful.  Do not trust the Iranians.,38,5,11,4,2,3,3,10,0
free the hostages [e],6,1,1,0,0,0,1,3,0
This will be another iraq syria and afghanistan. Iranian shias country was only barrier for Sunni countries sharing borders and working together and uniting Sunni will take over Iran and than Arabs Sunni Persians and Pakistan and afghanistan will share borders once again after 500yrs. The Arab Afghani and Pakistan Sunni groups could than just walk into Isreal. Leading to insurgents entering Isreals. This is daft move by Isreal,73,12,15,3,5,16,3,19,0
Sucks when the rabbit has the gun doesnt it?,11,3,2,0,0,1,2,3,0
1:30 keeps saying war is finished [e] that Iran is negotiating you voted in a liar.,19,2,7,0,0,2,2,6,0
No deal.  .blow Iran off the map.,9,2,0,0,0,1,2,4,0
I thought they had been obliterated militarily,7,0,4,0,1,2,0,0,0
Tens of Thousands of bombs and missiles and America still DIDINT win? You suck at wars,17,6,1,0,1,3,0,6,0
Save human lives over greediness . . .[e],9,2,1,1,0,0,0,5,0
israel never let others to live in peace. pick the history n u ll see they start the war all them.,23,4,6,0,1,4,3,5,0
U fools the Israelis are criminals and terrorists fools,9,3,2,0,0,2,1,1,0
If they put troops on the ground midterms will be lost big time and a communist will be running the country in 2028,23,6,7,1,0,1,4,4,0
What deal ?  If iran really wanted a deal  They won't be sending missiles at Israel this needs to absolutely stop! Is ridiculous no one wins its only violence destruction  Innocent people are loosing their lives this conflict is unnecessary iran needs to actually make its final decision also the united state's.. bless our brave soldiers [e] risking there lives bless u all..,70,11,17,6,4,14,5,13,0
Most comments here are either from bots or morons.,10,3,1,1,2,0,0,3,0
Iranian shovels and washing machines are speaking for themselves [e],12,3,2,1,0,1,0,5,0
[e][e][e][e][e]reminder Netanyahu how is it for you,8,1,1,0,0,3,0,3,0
Deal. BOOM,3,2,0,0,0,0,0,1,1
Lmao werent Gods chosen inbreds dropping JDAMS and phosphorus on hospitals and refugee camps for the better part of two years? Oh but now its a problem because big bad Iran decided to fight back instead of just surrendering its future to the Epstein class. Give me a break.,53,11,7,3,4,8,5,15,0
Straight up liars ruining the economy!!!,9,2,1,0,1,0,1,4,0
9000 is a misdemeanor100000 is a felony,7,1,2,0,0,1,3,0,0
I dont care what happens to israel. They deserve this,12,0,4,0,0,5,0,3,0
I DO NOT SUPPORT THIS WAR-  I AM JEWISH,9,0,3,2,0,3,0,1,0
Fox News do you remember  isnt replica of Gaza bombing to innocent children and innocent civilians? Gods justice Its tit for tat,24,8,3,2,0,5,0,6,0
Iran was underestimated  and got American and Israel running [e],12,0,4,1,0,2,0,5,0
Cargo ships next sitting ducks in the perisan gulf,9,5,1,0,0,0,1,2,0
Dipomats and head of states could be trusted but criminals like Zionist Nuclear criminal US and Arab dreaded dictators could not be trusted.They backstabbed two times during the talks,31,7,8,4,0,2,2,8,0
"What happened to Melania's "" Be best""?",10,0,2,1,0,2,0,5,1
Epic F Duck[e][e][e],4,0,0,0,0,2,0,2,1
Im glad people arent buying any of this propaganda bs. Yall played your final hand in all of the misinformation and lies in the past and now we are not going for it again.,38,7,6,2,2,7,3,11,0
What happened to the peace talks lame stream lying media?!,12,4,3,0,0,1,1,3,0
Are we great yet?,5,0,1,1,1,1,0,1,0
When they started singing B[e]mb B[e]mb Tel Aviv there was no peace talk on the cards.,17,3,3,0,0,6,2,3,0
I thought cease fire? What happened,7,2,2,0,0,2,0,1,0
Let yahoo fight his own war,6,1,2,1,0,2,0,0,0
Can Iran [e] do it againI was sleeping,10,0,4,0,0,3,0,3,0
Some good news in all this,6,1,0,1,0,1,2,1,1
Nice,1,0,0,1,0,0,0,0,1
More to come  wait and watch this war start by your US administration and Iran will end this . [e][e][e],22,2,6,1,0,4,1,8,0
Fox is a propaganda channel. U keep on saying the numbers of those who are injured what about the deaths??,23,4,5,0,0,5,3,6,0
Let isrealis fight they're supposed threat too them !,10,1,4,0,1,3,0,1,0
Some one told me iranian men and women heading to US with their bom.,15,4,2,1,0,3,1,4,0
How many fighter jets and ships have the Iranians destroyed...zero,12,3,2,1,0,1,2,3,0
times up Donny,3,1,0,0,0,1,0,1,0
Maga where is Donald ?,5,0,1,0,0,2,0,2,1
Israel bombing itself,3,0,1,0,0,2,0,0,0
Trump is ready to loose a lot to claim he won something.,13,2,4,1,0,2,1,3,0
I'm really disappointed when iran  missiles are hitting roads instead of buildings,13,3,3,1,2,2,0,2,0
Trump talking to whom? Reza Pahlavi [e][e][e][e]. All of Iran leaders have died. Theres no way you can stop all these tiny unit unless you put 200k troops on the ground,37,5,8,1,0,9,4,10,0
[e][e][e][e][e]! Epic fear not going well. I hope IRAN [e] stick to their demands especially with US kicked out of the region entirely that they should not move from.,36,2,7,1,3,5,1,17,0
Looks like Iran is winning,5,0,3,0,0,1,0,1,0
Trump desperately looking for exit door.,7,2,2,0,1,0,0,2,0
