text,token_count,noun_count,verb_count,adj_count,adv_count,pron_count,det_count,other_count,sentiment_score,polarity_score,is_bot_annotation,predicted_label,bot_probability
Day 10 of asking to be in a video,9,2,2,0,0,0,2,3,-0.033655,-0.273039,1,0,0.337476
Yes but dont make it too dangerous,8,0,2,1,1,1,0,3,-0.303858,-0.543242,1,0,0.252438
W Darious,2,0,0,0,0,2,0,0,-0.212036,-0.45142,0,1,0.652897
Whose missing karl[e],4,1,1,0,0,0,1,1,-0.079171,-0.318555,0,1,0.541269
if you pin me i will sub your all chanel,10,1,3,0,0,4,1,1,0.241307,0.001923,1,0,0.387593
How can I join the next challenge please [e],11,1,2,1,0,1,1,5,0.122398,-0.116986,1,0,0.310574
lDoNT NO,2,1,0,0,0,1,0,0,-0.397619,-0.637003,1,0,0.5
bro whats goingon your views are hnnnnn,8,2,3,1,0,2,0,0,-0.606881,-0.846265,1,0,0.129357
Mr beast you have 150M subscriber I have subscribed you please give me I phone please my dreams complete I am form India Up Mathura banana awa khera[e],30,5,5,2,0,12,2,4,0.879738,0.640354,1,0,0.421523
Bro more videos want,4,2,1,1,0,0,0,0,0.392846,0.153462,1,0,0.434946
I Lived in pakistand But i watched mr beast vlog bcz Mr beast is best vlogger and youtuber [e],21,5,4,1,0,5,0,6,0.93733,0.697946,1,0,0.271417
Do my challeng stay for 24 hour on the most dangerous island plssssss,13,4,2,1,1,1,2,2,-0.858524,-1.097908,1,0,0.179409
Yes go with boys and adventure and videos,8,3,1,0,0,0,0,4,0.345788,0.106404,0,1,0.592474
Big fan,2,1,0,1,0,0,0,0,0.876016,0.636632,0,1,0.699049
Hii mrBeast [e] Cameraman good done [e],11,1,2,1,1,0,0,6,0.907187,0.667803,1,0,0.356358
Please give me an iPhone too MrBeast. I am from India.,13,0,2,0,1,5,1,4,0.756086,0.516702,1,0,0.468569
Darius is the goat man he carried,7,1,2,0,0,3,1,0,0.927605,0.688221,0,1,0.631761
MrBeast is the best Youtuber in the history ! He changes the world ! Go go go MrBeast ! [e],22,2,5,1,0,4,3,7,0.983252,0.743868,1,0,0.244345
GIMMEH MY COOKIE,3,0,0,0,0,3,0,0,0.243767,0.004383,0,1,0.814487
Mr. Beast noted it correctly.,6,0,1,0,1,3,0,1,0.647685,0.408301,0,1,0.651003
Overacting,1,0,1,0,0,0,0,0,-0.159953,-0.399337,0,1,0.672239
Guys these blue [e] drums were bring here by Mr beast only as you can see in starting the same blue can they carring water in them. So how can a big blue drum can came on an island,42,7,10,4,3,4,4,10,-0.165332,-0.404716,1,0,0.275055
I was here in 2026 watching this,7,0,2,0,1,2,1,1,0.141122,-0.098262,1,0,0.44437
But where is Wilson ?,5,0,1,0,0,1,0,3,-0.110771,-0.350155,0,1,0.683265
Mrbeast can you give me 10000 thousand dollars [e] please,12,1,2,0,0,3,2,4,0.580538,0.341154,1,0,0.5
Darius deserves appreciation,3,1,1,0,0,1,0,0,0.749438,0.510054,0,1,0.788825
I have been a subscriber from long time[e][e] but I still didn't get any gift from u [e][e],22,4,4,1,1,3,2,7,-0.692207,-0.931591,1,0,0.203197
I watch your videos all the time and you don't help me at all. Time.      $500 help me [e][e] [e][e][e][e][e][e],28,3,4,0,2,6,3,10,-0.927144,-1.166528,1,0,0.462969
Hello sir I am from India I need your help please help me .,14,2,3,0,0,5,0,4,0.538894,0.29951,1,0,0.439823
W dairus [e],5,1,0,0,0,1,0,3,0.019434,-0.21995,0,1,0.730329
You can do this come on[e],7,0,3,0,0,3,0,1,0.915659,0.676275,0,1,0.653015
W darius in the replies!!!,8,2,0,0,0,1,1,4,0.270667,0.031283,0,1,0.649819
Where is Carl?,4,0,1,0,0,1,0,2,-0.101906,-0.34129,0,1,0.681742
Mr beast gimme some money i am kinda poor,9,3,1,1,1,2,1,0,-0.417089,-0.656473,1,0,0.135254
Yes,1,0,0,0,0,0,0,1,0.365616,0.126232,0,1,0.876724
All was cooked,3,0,2,0,0,1,0,0,0.274129,0.034745,0,1,0.724104
I hope u should take me the game i am big fan for u,14,3,4,1,0,4,1,1,0.960385,0.721001,1,0,0.257649
MrBeast sir please give me 20k indian rupees. I took a loan but I am unable to pay it back. If you are seeing this comment please sir  help me. Please [e][e][e],37,6,7,2,0,7,2,13,-0.420923,-0.660307,1,0,0.344401
Mrbest check airrock video that he escape the Island 2:28,10,2,2,1,0,3,2,0,0.179333,-0.060051,1,0,0.189397
Hi I saw your content. I can help you reply to comments and messages in good English. I can also increase engagement. I can do a free trial if you want.,35,5,9,2,1,8,1,9,0.847801,0.608417,1,0,0.334378
can you do a week on a snowy mountain?,10,2,2,1,0,1,2,2,-0.024479,-0.263863,1,0,0.17304
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,0.42918,0.189796,1,0,0.216815
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,0.42918,0.189796,1,0,0.216815
Do again with me full experience,6,1,1,1,1,1,0,1,0.340815,0.101431,1,0,0.347067
You be Mac present at the next Al Jazeera video better [e][e],14,2,1,3,0,4,1,3,0.677226,0.437842,1,0,0.274306
You be Mac present at the next Al Jazeera video better [e][e],14,2,1,3,0,4,1,3,0.677226,0.437842,1,0,0.274306
You be Mac present at the next Al Jazeera video better,11,1,1,2,1,4,1,1,0.42918,0.189796,1,0,0.216815
29:07 You be Mac present at the next Al Jazeera video better,12,1,1,2,1,4,2,1,0.376826,0.137442,1,0,0.19948
Hi mr beast come to rajasthan india in 45c normal temperature,11,1,1,1,0,4,1,3,0.347661,0.108277,1,0,0.390167
Hay Mr beast I am your biggest fan please come or i come to your home come India [e] again please [e] I not have enough money to your country and please give promotion please,39,6,6,2,1,9,0,15,0.808299,0.568915,1,0,0.403555
Dot  vary bro but you and your friends  tried it[e][e][e][e][e][e][e][e][e][e][e],11,3,1,1,0,3,0,3,0.084705,-0.154679,1,0,0.260158
33:33,1,0,0,0,0,0,1,0,0.332323,0.092939,0,1,0.818094
DARIUS SHOULD BE IN MAIN GROUP!!!!,10,1,2,0,0,2,0,5,0.690198,0.450814,0,1,0.666931
Mr beast plz help me some money 1881032040567 bank account [e][e][e],13,4,1,0,0,2,3,3,0.33723,0.097846,1,0,0.281127
Is typeless a useful app? [e],9,2,1,1,0,0,1,4,0.186814,-0.05257,1,0,0.332604
Hii  mrbeast please help me Give me $200000 I have been subscribed to you for 2 years; I have not received any gift till date [e] 0:01 0,32,3,8,0,1,5,5,10,-0.519335,-0.758719,1,0,0.373171
Day 12 of asking mr beast to put me in a challeng,12,3,2,0,0,2,2,3,-0.153178,-0.392562,1,0,0.217577
Thanks for 350 subscribers Plzzzz keep Supporting nd Subscribe more [e][e],13,3,2,0,1,2,2,3,0.959438,0.720054,1,0,0.342223
Thank you mrbeast for videos,5,1,1,1,0,1,0,1,0.968046,0.728662,0,1,0.623236
Mr. Beast how could you steal an idea from Egor Shkred? You didn't respond to his video so you're also stealing,24,2,6,0,1,8,1,6,-0.86042,-1.099804,1,0,0.314027
nice dogs,2,1,0,1,0,0,0,0,0.851774,0.61239,0,1,0.695998
Straw hat pirates,3,3,0,0,0,0,0,0,-0.00682,-0.246204,0,1,0.553306
10k like on this and mr. Beast will buy me a pc,13,2,2,0,0,5,1,3,0.61278,0.373396,1,0,0.48001
[e][e][e][e][e][e][e],3,0,0,0,0,1,0,2,-0.009699,-0.249083,0,1,0.787353
Mr beast pleas no Arabic yes English pleas [e][e][e][e],11,4,0,2,0,2,0,3,0.058889,-0.180495,1,0,0.189986
7:21,1,0,0,0,0,0,1,0,0.15555,-0.083834,0,1,0.783345
Come to this house giving away free money ! 40 abernly schnapper rock road,14,4,2,2,1,0,2,3,0.674415,0.435031,1,0,0.122604
I am amit your YouTube channel life time subscriber  Your biggest fan [e][e],15,6,1,2,0,4,0,2,0.884645,0.645261,1,0,0.339288
Every time he was stuck[e][e][e][e],6,1,2,0,0,1,1,1,-0.567046,-0.80643,1,0,0.265316
[e],3,0,0,0,0,0,0,3,0.092695,-0.146689,0,1,0.838401
I am from India please please please please please please please please please please please please please please mr beast take me in your vedio once,26,2,2,0,1,5,0,16,0.562109,0.322725,1,0,0.452419
Plz make pistachio flavour in ur choclate,7,3,1,0,0,1,0,2,0.220244,-0.01914,0,1,0.534167
Welcome to Youtuber's  V.S Wild [e],9,0,1,0,0,3,0,5,0.585592,0.346208,0,1,0.779698
[e][e][e][e],3,0,0,0,0,0,0,3,-0.04668,-0.286064,0,1,0.799264
Hii Jimmy can you collab with my channel?,9,1,3,0,0,3,0,2,0.253085,0.013701,1,0,0.490505
The gemerz is fighting jaldi jakar search karo[e] please,10,1,2,0,0,4,1,2,-0.181349,-0.420733,1,0,0.318948
Love you[e],3,2,0,0,0,0,0,1,0.942194,0.70281,0,1,0.813968
Haha Russian video blogger Yegorik has a video like this did you steal it?,15,3,3,1,0,5,1,2,-0.050286,-0.28967,1,0,0.128558
Your are very Darefull [e],7,0,1,1,1,1,0,3,0.902907,0.663523,1,0,0.4927
hey jimmy can you please get me on the same challange in other vedio please,15,3,2,2,0,3,1,4,0.178293,-0.061091,1,0,0.151929
Very boring video,3,1,0,1,1,0,0,0,-0.808748,-1.048132,1,0,0.249061
Nice script though [e] try better next time,10,2,1,2,1,0,0,4,0.899396,0.660012,1,0,0.280351
hello mr beast  I'm asking permission to take a small portion of your video to post on my personal page.,22,5,4,2,0,4,1,6,0.19474,-0.044644,1,0,0.135054
Today's my birthday but no subscribers,7,3,0,0,0,1,1,2,-0.276817,-0.516201,1,0,0.350695
How to join mr beast challenge i dont know can anyone please tell me,15,2,5,0,0,4,0,4,-0.191822,-0.431206,1,0,0.203309
30:05,1,0,0,0,0,0,1,0,0.069222,-0.170162,0,1,0.757804
29:55,1,0,0,0,0,0,1,0,0.125573,-0.113811,0,1,0.775171
29:44,1,0,0,0,0,0,1,0,0.199697,-0.039687,0,1,0.794098
Mr. Beast I want to make a video with you I am from Bangladesh.,15,1,3,0,0,6,1,4,0.622287,0.382903,1,0,0.445948
Sir can you help me my mother have cancer problem,10,3,3,0,0,4,0,0,-0.178568,-0.417952,1,0,0.209057
Does anyone here know how to write a book [e] but have issues in printing and publishing them,20,3,5,0,1,2,1,8,-0.212032,-0.451416,1,0,0.223018
26:42 jimmy's voice [e],7,1,0,0,0,1,1,4,0.106116,-0.133268,0,1,0.689507
Hye mr. Beast I like your videos like this types,11,2,1,0,0,6,1,1,0.913595,0.674211,0,1,0.613671
I need a laptop please [e] I am new subscriber,12,2,2,1,0,2,1,4,0.206997,-0.032387,1,0,0.24813
Im so glad hase is here too,8,1,2,1,3,1,0,0,0.982467,0.743083,1,0,0.237131
Mr Beast please help me My father is so sick and my home in loan and I am job delivery boy but now my condition is not good please give me $10000 it's enough amount for my all problems my english is not good but I trying if I write Hindi language so can better understand you please [e] help,64,10,12,4,4,16,2,16,-0.6881,-0.927484,1,0,0.27788
Wah keren[e][e],3,1,0,0,0,1,0,1,-0.012496,-0.25188,0,1,0.71027
Mr beast you should recreate the steel ball run race cross america from jojos bizarre adventure part 7 which is the best anime which is going to be created and one of the best manga in history so its going to be peak if you can recreate it,48,8,11,4,0,12,5,8,0.957011,0.717627,0,1,0.758342
Mack make the same video 2 week before,8,2,1,1,0,1,2,1,-0.108499,-0.347883,1,0,0.193544
Allah give u more success ..and give u more chance to donate,13,2,3,2,0,3,0,3,0.945715,0.706331,1,0,0.273416
Darius [e][e],4,1,0,0,0,1,0,2,0.050109,-0.189275,0,1,0.738693
Do more like this,4,0,1,1,0,1,0,1,0.4847,0.245316,0,1,0.602487
Darrius,1,0,0,0,0,1,0,0,0.069428,-0.169956,0,1,0.807935
Small content creators assemble.  Do subscribe.....,8,2,3,1,0,0,0,2,0.215431,-0.023953,1,0,0.241066
I am ready to take challenges in video,8,2,2,1,0,1,0,2,0.657019,0.417635,1,0,0.402073
I want Chinese,3,0,1,0,0,2,0,0,0.298956,0.059572,0,1,0.78459
bring darrius again!!!!!!!!!!!!!!!,18,1,1,0,1,0,0,15,0.829416,0.590032,0,1,0.523008
Mr best  Please half me  I need sum many Please [e],13,1,1,2,0,3,1,5,0.902846,0.663462,1,0,0.353194
Mr beast is brand of YouTube,6,2,1,0,0,2,0,1,0.317034,0.07765,0,1,0.639017
Video fake,2,2,0,0,0,0,0,0,-0.120759,-0.360143,0,1,0.595551
Oh yes Mr. Beast ken Tse cho colle more if you bring me the break and we missed together find oh yes wow who,24,2,5,0,2,7,1,7,0.739055,0.499671,1,0,0.238691
In the epst3in island??,7,2,0,0,0,0,1,4,0.020172,-0.219212,0,1,0.596234
We want part 2.....,5,1,1,0,0,1,1,1,0.201646,-0.037738,0,1,0.626648
Hi mrbeast  Iam in India give me a gift plz i saw all videos and subscribed plz give a gift,20,3,4,1,0,4,3,5,0.696942,0.457558,1,0,0.191978
Bro Nolan is cooking the challenge,6,1,2,0,0,2,1,0,0.426402,0.187018,0,1,0.568353
Last nights had a dream about Mr beast coming to my house [e],15,4,2,1,0,2,1,5,0.028038,-0.211346,1,0,0.163772
Mojang please fix bedrock,4,2,1,0,0,0,0,1,-0.381684,-0.621068,1,0,0.40775
Jimmy can do anything [e],7,0,2,0,0,2,0,3,0.514275,0.274891,0,1,0.732902
Bro Come back [e],6,1,1,0,0,0,0,4,0.24119,0.001806,0,1,0.745054
Darius made every cameraman proud,5,1,1,1,0,1,1,0,0.961832,0.722448,0,1,0.546709
WHERES KARL,2,1,0,0,0,1,0,0,0.001403,-0.237981,0,1,0.712571
you let us down. Junction City High School Junction City KS,12,0,1,0,0,9,0,2,-0.823151,-1.062535,1,0,0.291395
Darrius saved the group all he could,7,1,2,0,0,3,1,0,0.446473,0.207089,0,1,0.554316
7:17,1,0,0,0,0,0,1,0,0.149494,-0.08989,0,1,0.781751
10:11,1,0,0,0,0,0,1,0,0.283863,0.044479,0,1,0.81067
Thank you mr beast. My sisters tryed testable bar in Bangladesh,12,3,2,1,0,4,0,2,0.789168,0.549784,1,0,0.379743
For over 5 years since 2020 I've been praying that God invites me to participate in a video with MrBeast and he rewards me with money to help my father. I hope you come to Egypt and we shoot a video together.,45,5,10,0,1,11,4,14,0.921306,0.681922,0,1,0.799227
Gugu gaga,2,1,0,0,0,1,0,0,0.134739,-0.104645,0,1,0.762889
LOVE FROM BANGLADESH [e][e][e][e],6,2,0,0,0,1,0,3,0.913491,0.674107,0,1,0.796768
Are you crazy,3,0,1,1,0,1,0,0,-0.323995,-0.563379,1,0,0.310484
@mrbeast i need money for married [e][e][e] $50.000 [e][e][e],14,2,1,1,0,1,3,6,0.049971,-0.189413,1,0,0.258428
I felt greatly that the mechs gon get him  -babft player-,11,3,2,1,1,2,1,1,0.171757,-0.067627,1,0,0.134144
Beast today is my birthday can you gift me a ASUS rog,12,3,3,0,0,5,1,0,0.831026,0.591642,1,0,0.417195
This deserves way more views! [e],9,1,1,1,1,1,0,4,0.949903,0.710519,1,0,0.445934
You Will never Know Why this comment is The most Liked Comment in the History of YouTube!,18,2,4,0,2,3,3,4,0.875017,0.635633,1,0,0.223646
Kristina tyson touched me,4,1,1,0,0,2,0,0,0.070185,-0.169199,0,1,0.638321
Mr. I really like you I have a body doll of you made out of hair I collected from your sets I would love to go swimming with you in my pool with my grandma. We watch your videos together before tickle time We would love to have you over we can practice hugging[e][e][e][e],56,10,14,0,2,16,1,13,0.972177,0.732793,0,1,0.521908
Hii mr beast sir i need some money[e],9,0,1,0,0,6,1,1,0.130344,-0.10904,0,1,0.54423
Mission Failed[e],3,1,0,0,0,1,0,1,-0.731643,-0.971027,1,0,0.365454
I'm big fan you Mr beast [e],10,2,1,1,0,3,0,3,0.972816,0.733432,0,1,0.546684
Entertainment at scale. Meaning at what cost?,9,3,1,0,0,1,0,4,-0.04172,-0.281104,1,0,0.453562
Hii mr beast I want to meet you [e][e],11,2,2,0,0,4,0,3,0.604615,0.365231,0,1,0.562097
Hi Mr beast,3,1,0,0,0,1,0,1,0.571971,0.332587,0,1,0.838985
U.s. do know Iran have allies and Iran get all that gear and tech back. Construction just rebuild all those destroyed buildings back and rebuild military nothing changed,30,5,8,1,3,5,4,4,-0.304701,0.180222,1,0,0.172292
It's taco tuesday fox news.,7,0,1,0,0,5,0,1,0.2367,0.721623,1,0,0.5
Give no quarter [e][e][e][e],6,1,1,0,0,0,2,2,-0.448101,0.036822,1,0,0.204974
"What happened to Melania's "" Be best""?",10,0,2,1,0,2,0,5,-0.428256,0.056667,1,0,0.155656
Maga where is Donald ?,5,0,1,0,0,2,0,2,-0.236349,0.248574,1,0,0.411414
